id,timestamp,vessel_id,latitude,longitude,velocity,heading,cog,vessel_name,destination,type
5640468,2025-03-27 00:27:57.544412,230634000,60.186048,21.440703,5.1,127.0,124.0,STELLA,GALTBY-KITTUIS,60
5640467,2025-03-27 00:27:57.520268,230163320,60.196327,22.261165,0.0,55.0,273.0,VILLE 2,GRANVIK,52
5640466,2025-03-27 00:27:57.324612,230011480,60.515837,21.074558,0.0,222.0,51.0,DOPPINGEN,JURMO AVA,60
5640465,2025-03-27 00:27:57.291795,230184000,60.08111,24.745073,17.9,76.0,75.7,SILJA SERENADE,FIHEL<>FIMHQ<>SESTO,60
5640464,2025-03-27 00:27:57.271997,230709000,59.789453,21.343897,11.8,351.0,351.6,EMILIE,FINLI,70
5640463,2025-03-27 00:27:57.026137,538009211,59.626643,23.340698,12.6,253.0,253.4,AMADES,IN KOC,80
5640462,2025-03-27 00:27:56.944108,237714600,59.765407,23.705667,42.7,72.0,66.5,PLS-622,VUOSAARI,51
5640461,2025-03-27 00:27:56.742260,230991010,60.436903,22.238728,0.0,511.0,287.6,ANYA,TURKU,90
5640460,2025-03-27 00:27:56.611368,276702000,59.476027,24.586587,18.3,511.0,299.4,AHTO-26,MEERUSE ,90
5640459,2025-03-27 00:27:56.447811,314843000,59.112525,21.575462,12.0,217.0,216.3,OASIS,PORT SAID FOR ORDERS,80
5640458,2025-03-27 00:27:56.296120,230992640,60.174527,21.556572,0.0,39.0,306.6,FISKO,KORPPOO AREA,60
5640457,2025-03-27 00:27:55.988963,230985490,60.160693,24.972688,9.2,301.0,303.7,SUOMENLINNA II,SUOMENLINNA FERRY,60
5640456,2025-03-27 00:27:55.893971,230361000,60.05543,24.956652,18.1,13.0,14.2,GABRIELLA,SESTO<>FIMHQ<>FIHEL,60
5640455,2025-03-27 00:27:55.852854,276829000,60.1476,24.91456,1.3,209.0,13.2,MEGASTAR,EEVAN<->FIHEL,60
5640454,2025-03-27 00:27:55.745869,230081290,61.126475,21.44457,0.0,254.0,209.0,L152,RAUMA PILOT AREA,50
5640453,2025-03-27 00:27:55.573504,244297000,59.823728,19.611755,10.9,142.0,141.1,LAGANBORG,NLVLI,70
5640452,2025-03-27 00:27:55.515878,230046140,60.160773,21.691227,0.0,348.0,180.3,VIGGEN,UTO,90
5640451,2025-03-27 00:27:55.312821,230044260,60.145942,24.983652,0.0,511.0,0.0,KALLE,HELSINKI,52
5640450,2025-03-27 00:27:55.205916,630001147,59.508762,23.11852,11.0,68.0,68.4,WAN MING GONG ZHENG,UST LUGA RU,70
5640449,2025-03-27 00:27:55.163540,230014910,59.894705,23.354535,102.3,22.0,360.0,MT1310,,90
5640448,2025-03-27 00:27:55.037724,230634000,60.186092,21.440582,4.8,127.0,123.3,STELLA,GALTBY-KITTUIS,60
5640447,2025-03-27 00:27:54.982912,311995000,60.578163,19.6708,15.4,76.0,76.3,ELBE HIGHWAY,FIUKI,70
5640446,2025-03-27 00:27:54.938307,230008800,61.594075,21.463775,0.0,172.0,18.4,PILOT L230,MANTYLUOTO PILOT CH9,50
5640445,2025-03-27 00:27:54.921659,305967000,59.046727,22.023245,9.3,232.0,232.6,KREETE,SZCECIN,70
